#,P1,Skill,Uncertainty
140,Levine,17.44,11.09
141,Sijsling,17.42,14.77
142,Marchenko,17.42,9.94
143,Silva,17.34,10.09
144,Delbonis,17.10,11.65
145,Mathieu,16.88,8.82
146,Lacko,16.87,13.40
147,Wu,16.75,13.03
148,HutaGalung,16.75,10.99
149,Gicquel,16.49,13.04
150,CarrenoBusta,16.47,11.26
151,Golubev,16.22,11.58
152,Dancevic,15.17,11.45
153,Serra,15.02,12.20
154,Brands,15.01,11.44
155,Verdasco,14.89,10.22
156,Williams,14.89,10.32
157,Zopp,14.67,11.46
158,Stepanek,14.14,11.71
159,Blake,13.98,9.31
160,Zhang,13.54,7.39
161,Sela,13.37,10.08
162,Darcis,13.26,8.66
163,Mahut,13.12,9.08
164,Baghdatis,13.07,8.94
165,Melzer,13.04,9.65
166,Johnson,12.97,8.50
167,Kamke,12.91,8.33
168,Teixeira,12.68,8.66
169,Lorenzi,12.67,10.68
170,Kudla,12.54,8.94
171,Tipsarevic,12.33,7.96
172,Granollers,12.19,8.82
173,Ramos,12.08,8.58
174,Llodra,11.28,7.30
175,Reister,11.03,9.36
176,Russell,10.86,10.26
177,Petzschner,10.39,7.46
178,Becker,8.63,7.39
179,Soeda,8.51,7.23
180,Monaco,7.61,6.24
181,Duckworth,7.60,6.37
182,Kuznetsov,6.77,6.23
