#,P1,Skill,Uncertainty
134,Gonzalez,20.96,6.91
135,Haase,20.87,6.98
136,Montanes,20.85,6.83
137,HutaGalung,20.61,6.94
138,Hewitt,20.61,7.17
139,Kamke,20.61,7.17
140,CarrenoBusta,20.61,7.17
141,Kubot,20.61,7.17
142,Pouille,20.61,7.17
143,Sela,20.61,7.17
144,GimenoTraver,20.61,7.17
145,Wang,20.61,7.17
146,Kukushkin,20.61,7.17
147,Guez,20.61,7.17
148,Dancevic,20.61,7.17
149,Wu,20.61,7.17
150,Brands,20.61,7.17
151,Williams,20.61,7.17
152,Odesnik,20.61,7.17
153,Russell,20.61,7.17
154,Stepanek,20.61,7.17
155,Zhang,20.61,7.17
156,Struff,20.61,7.17
157,Reister,20.61,7.17
158,Baghdatis,20.61,7.17
159,Ramos,20.61,7.17
160,Delbonis,20.61,7.17
161,Zeballos,20.61,7.17
162,Berankis,20.61,7.17
163,Berlocq,20.52,6.95
164,Bedene,20.11,6.87
165,Sijsling,19.79,6.98
166,Thompson,19.76,6.77
167,Devvarman,19.70,6.82
168,Lacko,19.31,6.91
169,Granollers,19.31,6.91
170,Becker,19.31,6.91
171,Gojowczyk,19.31,6.91
172,BogomolovJr,19.01,6.85
173,Mahut,19.01,6.87
174,Haas,19.01,6.87
175,Monaco,19.01,6.87
176,Sousa,19.01,6.87
177,Hajek,19.01,6.87
178,Isner,19.01,6.87
179,Harrison,19.01,6.87
180,Llodra,19.01,6.87
181,Johnson,18.82,6.81
182,Kudla,17.46,6.59
