#,P1,Skill,Uncertainty
109,Edmund,20.07,13.74
110,Delbonis,20.04,12.89
111,Beck,20.00,13.59
112,Falla,19.97,12.41
113,Ward,19.94,13.51
114,Zhang,19.91,13.60
115,Olivetti,19.89,13.59
116,Baker,19.84,13.44
117,Monaco,19.69,12.02
118,Pouille,19.53,12.84
119,Pella,19.47,12.57
120,HutaGalung,19.43,13.38
121,Muller,19.21,13.49
122,Martin,19.05,13.52
123,Andreev,18.92,13.49
124,Mathieu,18.87,12.68
125,Wu,18.74,13.21
126,Andujar,18.65,11.51
127,Nava,18.55,13.36
128,Teixeira,18.53,13.33
129,DeBakker,18.52,13.31
130,Groth,18.50,13.44
131,Sela,18.49,12.61
132,Elias,18.47,13.27
133,DutraSilva,18.11,13.21
134,Knittel,18.01,13.08
135,Volandri,17.77,12.90
136,Reid,17.63,13.03
137,CarrenoBusta,17.54,12.79
138,Mahut,17.48,11.98
139,Kudla,17.40,11.33
140,Riba,17.38,13.00
141,Kamke,17.35,11.22
142,Brands,17.28,11.54
143,Ungur,17.14,12.53
144,Serra,17.11,12.55
145,Blake,16.89,11.85
146,Bolelli,16.42,12.37
147,Alund,16.38,12.31
148,Stepanek,16.36,11.95
149,HaiderMaurer,16.26,11.56
150,Bakker,16.18,12.37
151,GarciaLopez,15.89,11.16
152,Soeda,15.75,11.15
153,Harrison,15.61,10.98
154,Becker,15.49,11.19
155,Berlocq,15.37,11.04
156,Gicquel,15.19,11.82
157,Goffin,14.97,11.59
158,Odesnik,14.64,11.62
159,Haase,14.60,10.83
160,Hajek,14.60,10.94
161,Malisse,14.42,11.43
162,Zopp,14.39,11.30
163,Giraldo,14.39,11.13
164,GimenoTraver,14.15,10.65
165,Reister,13.95,10.52
166,Zeballos,13.66,10.13
167,Schepper,13.41,10.99
168,Vesely,13.37,10.72
169,Williams,13.19,10.80
170,Lorenzi,12.82,10.49
171,Petzschner,12.81,10.37
172,Rosol,12.77,10.14
173,Montanes,12.71,9.98
174,Matosevic,12.62,10.36
175,Bedene,11.89,9.85
176,Ramos,11.41,9.43
177,Russell,11.39,9.48
178,Lacko,10.99,9.55
179,Berankis,10.85,9.49
180,Duckworth,10.39,9.06
181,Kuznetsov,9.95,8.35
182,Johnson,9.01,8.05
