#,P1,Skill,Uncertainty
101,Volandri,20.97,13.78
102,Edmund,20.92,13.80
103,Thompson,20.92,13.85
104,Marchenko,20.84,13.63
105,Guez,20.74,13.78
106,Rufin,20.69,13.00
107,Ungur,20.54,13.80
108,Rochus,20.52,13.60
109,Beck,20.35,13.62
110,Karlovic,20.34,13.66
111,BogomolovJr,20.29,13.45
112,Pouille,20.20,12.84
113,Mahut,20.16,12.88
114,Brands,20.14,12.69
115,Ward,20.07,13.63
116,Sousa,19.99,12.66
117,Dolgopolov,19.97,12.18
118,Silva,19.95,13.45
119,Zhang,19.93,13.58
120,Giraldo,19.93,12.95
121,Serra,19.92,13.64
122,Hewitt,19.92,12.50
123,HutaGalung,19.87,13.56
124,Tursunov,19.83,12.23
125,Groth,19.80,13.50
126,Falla,19.77,12.45
127,Delbonis,19.62,12.96
128,Gojowczyk,19.26,13.54
129,Teixeira,19.21,13.50
130,Andreev,19.17,13.40
131,DutraSilva,19.17,13.45
132,Goffin,19.09,13.14
133,Wu,18.92,13.24
134,Knittel,18.76,13.31
135,Muller,18.61,13.38
136,DeBakker,18.53,13.35
137,Nava,18.44,13.21
138,Stepanek,18.42,12.36
139,Haase,18.26,12.14
140,Elias,18.24,13.06
141,Sela,18.24,13.19
142,Riba,18.05,13.32
143,Kukushkin,17.99,13.02
144,Reid,17.97,13.09
145,Zopp,17.94,12.59
146,Schepper,17.77,13.16
147,Soeda,17.62,12.22
148,Zeballos,17.59,12.03
149,Harrison,17.48,11.95
150,GimenoTraver,17.36,12.11
151,Andujar,17.23,11.96
152,Bolelli,17.19,12.59
153,GarciaLopez,17.10,11.92
154,CarrenoBusta,17.05,12.64
155,Alund,16.96,12.46
156,Williams,16.70,12.48
157,Vesely,16.63,12.34
158,Rosol,16.41,11.68
159,Malisse,16.18,12.31
160,Kamke,16.09,11.67
161,Gicquel,15.62,12.01
162,Petzschner,15.43,11.94
163,Montanes,15.30,11.28
164,HaiderMaurer,15.20,12.01
165,Reister,15.12,10.96
166,Kudla,14.67,10.97
167,Hajek,14.66,11.00
168,Odesnik,14.63,11.65
169,Granollers,14.08,11.24
170,Matosevic,14.04,11.06
171,Bedene,13.98,11.02
172,Becker,13.80,10.97
173,Lorenzi,13.80,11.29
174,Ramos,13.58,10.91
175,Baghdatis,13.53,10.82
176,Lacko,13.42,10.82
177,Berlocq,13.23,10.77
178,Kuznetsov,12.72,9.99
179,Russell,12.47,10.24
180,Berankis,12.00,10.21
181,Duckworth,11.90,10.07
182,Johnson,11.13,9.55
