#,P1,Skill,Uncertainty
72,Evans,25.85,14.57
73,Altamirano,25.53,14.67
74,Olivetti,25.30,14.43
75,Harrison,25.26,13.09
76,Klahn,24.86,10.39
77,Baker,24.73,14.39
78,Martin,24.72,14.35
79,Brands,24.62,12.31
80,Youzhny,24.54,8.82
81,Delbonis,24.40,12.43
82,Verdasco,24.40,11.12
83,Fabbiano,24.33,14.49
84,Agut,24.18,12.26
85,Riba,24.13,12.24
86,Devvarman,23.98,13.65
87,Giraldo,23.74,10.92
88,Bakker,23.40,12.26
89,Donskoy,23.16,10.55
90,Montanes,22.99,13.85
91,Dolgopolov,22.97,12.24
92,Pouille,22.50,9.46
93,Gonzalez,22.45,15.62
94,Soeda,21.99,10.96
95,Mannarino,21.84,11.38
96,Marchenko,21.80,11.74
97,Tursunov,21.76,10.63
98,Thompson,21.17,16.49
99,Hanescu,21.01,10.45
100,Johnson,20.86,13.18
101,Benneteau,20.75,11.04
102,Kavcic,20.75,10.64
103,Mahut,19.96,14.10
104,DeSchepper,19.92,13.15
105,Zopp,19.84,8.87
106,Millot,19.55,12.54
107,Groth,19.47,11.34
108,Malisse,19.43,13.81
109,Nieminen,19.34,9.43
110,Kudla,19.31,14.41
111,Lacko,19.12,11.55
112,Kokkinakis,19.10,12.73
113,Gojowczyk,19.04,11.87
114,Cuevas,18.64,13.65
115,Golubev,18.60,9.21
116,Dzumhur,18.48,13.06
117,Muller,18.47,13.73
118,Schepper,18.46,9.58
119,Baghdatis,18.44,13.45
120,Rufin,18.41,10.04
121,Pella,18.24,9.04
122,Struff,18.07,10.01
123,Ungur,18.04,10.25
124,Gicquel,17.98,13.82
125,Elias,17.79,13.86
126,Dancevic,17.75,12.24
127,GarciaLopez,17.67,11.42
128,Silva,17.67,10.36
129,Sela,17.60,10.85
130,Guez,17.52,10.70
131,Young,17.48,9.89
132,Reister,17.37,14.53
133,Rosol,17.10,10.63
134,Kukushkin,16.95,11.37
135,Petzschner,16.82,13.01
136,Becker,16.79,10.68
137,Kohlschreiber,16.57,9.00
138,BogomolovJr,16.55,9.24
139,Goffin,16.45,10.27
140,Edmund,16.42,10.17
141,Bedene,16.41,12.28
142,CarrenoBusta,16.39,14.53
143,Kubot,16.38,9.20
144,Stepanek,16.37,8.60
145,HaiderMaurer,16.24,10.75
146,Vesely,15.82,12.24
147,Haase,15.41,8.82
148,Wu,15.34,9.79
149,DeBakker,15.22,11.42
150,Kuznetsov,14.90,8.98
151,Nava,14.76,12.76
152,Russell,14.62,11.71
153,Berlocq,14.47,10.67
154,Williams,14.30,12.31
155,Hajek,13.97,10.70
156,Ram,13.95,10.56
157,Tipsarevic,13.88,10.72
158,Blake,13.51,9.38
159,DutraSilva,13.42,8.97
160,Levine,13.28,8.42
161,Brown,13.15,8.37
162,Smyczek,13.12,11.82
163,GimenoTraver,13.00,7.78
164,Kamke,12.83,9.43
165,Teixeira,12.70,8.44
166,Odesnik,12.47,11.45
167,Beck,12.38,8.43
168,Alund,12.13,8.67
169,Andujar,11.72,8.20
170,Rola,11.70,8.47
171,Duckworth,10.98,9.87
172,Lorenzi,10.42,9.21
173,Berankis,10.38,7.54
174,Bogomolov,10.36,6.23
175,Granollers,9.77,7.20
176,Bolelli,8.53,7.99
177,Matosevic,8.46,6.97
178,Ramos,8.29,6.85
179,Falla,7.97,6.91
180,HutaGalung,7.84,5.61
181,Knittel,7.47,6.59
182,Rochus,7.01,6.09
