#,P1,Skill,Uncertainty
90,Devvarman,21.92,11.79
91,Gonzalez,21.57,15.26
92,Reid,21.56,13.15
93,Martin,21.46,15.68
94,Nieminen,21.23,13.96
95,Rochus,21.18,9.72
96,Karlovic,21.03,14.02
97,Marchenko,20.68,12.27
98,Kamke,20.63,11.37
99,Agut,20.60,11.88
100,Hanescu,20.39,9.20
101,Querrey,20.34,9.42
102,Guez,20.20,12.48
103,Dancevic,20.17,12.64
104,Cuevas,20.17,11.13
105,Serra,20.17,13.62
106,Gojowczyk,19.68,10.96
107,Ungur,19.67,13.06
108,Mathieu,19.59,10.51
109,Darcis,19.54,14.38
110,Kubot,19.44,8.98
111,BogomolovJr,19.35,11.33
112,Kukushkin,19.29,9.28
113,Struff,19.29,12.03
114,Groth,19.26,10.50
115,Soeda,19.19,12.56
116,Kyrgios,19.15,11.02
117,Brands,19.09,10.35
118,Altamirano,18.77,14.19
119,Kokkinakis,18.75,9.31
120,Monaco,18.70,8.67
121,Zeballos,18.51,12.28
122,Mahut,18.43,11.69
123,Mannarino,18.21,11.06
124,Sela,18.10,11.38
125,HaiderMaurer,18.01,11.59
126,Ward,17.94,10.14
127,Reister,17.61,11.79
128,Petzschner,17.29,12.01
129,Berankis,17.16,9.25
130,Andujar,17.07,8.00
131,Riba,17.05,12.00
132,Kavcic,17.05,12.20
133,Llodra,16.94,9.90
134,Dzumhur,16.93,13.16
135,Kudla,16.83,8.79
136,Levine,16.64,13.27
137,Zhang,16.35,10.50
138,Malisse,16.21,13.35
139,Bogomolov,15.87,11.26
140,Berrer,15.66,8.44
141,Elias,15.56,10.58
142,Falla,15.51,9.50
143,Russell,15.51,12.07
144,Blake,15.35,12.58
145,Goffin,15.31,9.35
146,Reynolds,15.22,14.05
147,Teixeira,15.11,10.20
148,Baghdatis,15.08,8.41
149,GarciaLopez,15.08,9.26
150,Duckworth,14.90,10.01
151,Wu,14.90,13.45
152,DutraSilva,14.66,11.34
153,CarrenoBusta,14.32,7.68
154,Knittel,14.26,11.08
155,Pouille,14.19,10.66
156,Volandri,14.08,10.58
157,Schepper,13.96,13.24
158,GimenoTraver,13.85,11.28
159,Bedene,13.39,11.09
160,HutaGalung,13.33,8.91
161,Muller,12.93,11.09
162,Gicquel,12.73,11.91
163,Berlocq,12.61,9.01
164,Thiem,12.45,7.96
165,Lorenzi,12.10,9.13
166,Bolelli,11.45,9.62
167,Rosol,11.43,10.01
168,Lacko,11.36,9.60
169,Kuznetsov,11.16,6.69
170,Becker,10.48,6.99
171,Vesely,9.49,7.48
172,Hajek,9.45,7.18
173,Baker,9.38,7.99
174,Montanes,9.36,7.54
175,Haase,8.58,5.76
176,DeBakker,8.17,6.35
177,Thompson,8.13,6.86
178,Giraldo,8.07,5.63
179,Ramos,7.36,6.95
180,Stepanek,7.27,6.63
181,Pella,6.50,5.79
182,Johnson,5.81,4.72
